Mesh	Morph	Category	Section	Label	Recognized
Female	Eyeball Position Side-Side Right	Head	Eyes	Eyeball Position Side-Side Right	true
Female	Eyeball Position Side-Side Left	Head	Eyes	Eyeball Position Side-Side Left	true
Female	Eyeball Position Height	Head	Eyes	Eyeball Position Height	true
Female	Eyeball Position Depth	Head	Eyes	Eyeball Position Depth	true
Female	Eye Pupil Slit	Head	Eyes	Eye Pupil Slit	true
Female	Eye Iris Size Smaller	Head	Eyes	Eye Iris Size Smaller	true
Female	Eye Iris Size Larger	Head	Eyes	Eye Iris Size Larger	true
Female	Wink	Head	Expressions	Wink	true
Female	Triumph	Head	Expressions	Triumph	true
Female	Tired	Head	Expressions	Tired	true
Female	Suspicious	Head	Expressions	Suspicious	true
Female	Surprised	Head	Expressions	Surprised	true
Female	Snarl	Head	Expressions	Snarl	true
Female	Smile Open Full Face	Head	Expressions	Smile Open Full Face	true
Female	Smile Full Face	Head	Expressions	Smile Full Face	true
Female	Silly	Head	Expressions	Silly	true
Female	Shock	Head	Expressions	Shock	true
Female	Serious	Head	Expressions	Serious	true
Female	Scream	Head	Expressions	Scream	true
Female	Sarcastic	Head	Expressions	Sarcastic	true
Female	Sad	Head	Expressions	Sad	true
Female	Rage	Head	Expressions	Rage	true
Female	Pleased	Head	Expressions	Pleased	true
Female	Pain	Head	Expressions	Pain	true
Female	Irritated	Head	Expressions	Irritated	true
Female	Incredulous	Head	Expressions	Incredulous	true
Female	Ill	Head	Expressions	Ill	true
Female	Ignore	Head	Expressions	Ignore	true
Female	Happy	Head	Expressions	Happy	true
Female	Glare	Head	Expressions	Glare	true
Female	Frown	Head	Expressions	Frown	true
Female	Flirting	Head	Expressions	Flirting	true
Female	Fierce	Head	Expressions	Fierce	true
Female	Fear	Head	Expressions	Fear	true
Female	Excitement	Head	Expressions	Excitement	true
Female	Drunk	Head	Expressions	Drunk	true
Female	Disgust	Head	Expressions	Disgust	true
Female	Desire	Head	Expressions	Desire	true
Female	Contempt	Head	Expressions	Contempt	true
Female	Confused	Head	Expressions	Confused	true
Female	Confident	Head	Expressions	Confident	true
Female	Concentrate	Head	Expressions	Concentrate	true
Female	Bored	Head	Expressions	Bored	true
Female	Bereft	Head	Expressions	Bereft	true
Female	Angry	Head	Expressions	Angry	true
Female	Afraid	Head	Expressions	Afraid	true
Female	Jaw Open No Jaw Strength	Head	Jaw & Chin	Jaw Open No Jaw Strength	true
Female	Breasts Tip Up-Down	Body	Breasts & Nipples	Breasts Tip Up-Down	true
Female	Breasts Tip In-Out	Body	Breasts & Nipples	Breasts Tip In-Out	true
Female	body_ctrl_pecmovement_r	Body	Chest	body ctrl pecmovement r	true
Female	body_ctrl_pecmovement_l	Body	Chest	body ctrl pecmovement l	true
Female	Base Anime Worried	Head	Expressions	Worried	true
Female	Base Anime Upset	Head	Expressions	Upset	true
Female	Base Anime Tongue Out Side	Head	Expressions	Tongue Out Side	true
Female	Base Anime Tongue Out Front	Head	Expressions	Tongue Out Front	true
Female	Base Anime Sweet	Head	Expressions	Sweet	true
Female	Base Anime Surprised	Head	Expressions	Surprised	true
Female	Base Anime Surprised Worried	Head	Expressions	Surprised Worried	true
Female	Base Anime Surprised Happy	Head	Expressions	Surprised Happy	true
Female	Base Anime Surprised Angry	Head	Expressions	Surprised Angry	true
Female	Base Anime Smile Strong	Head	Expressions	Smile Strong	true
Female	Base Anime Smile Simple	Head	Expressions	Smile Simple	true
Female	Base Anime Smile Show Teeth	Head	Expressions	Smile Show Teeth	true
Female	Base Anime Sleep	Head	Expressions	Sleep	true
Female	Base Anime Sleep Open Mouth	Head	Expressions	Sleep Open Mouth	true
Female	Base Anime Shock	Head	Expressions	Shock	true
Female	Base Anime Serious	Head	Expressions	Serious	true
Female	Base Anime Scolded	Head	Expressions	Scolded	true
Female	Base Anime Sadness	Head	Expressions	Sadness	true
Female	Base Anime Sad	Head	Expressions	Sad	true
Female	Base Anime Resilience	Head	Expressions	Resilience	true
Female	Base Anime No Words	Head	Expressions	No Words	true
Female	Base Anime Nightmare	Head	Expressions	Nightmare	true
Female	Base Anime Mad	Head	Expressions	Mad	true
Female	Base Anime Laugh Open Eyes	Head	Expressions	Laugh Open Eyes	true
Female	Base Anime Laugh Closed Eyes	Head	Expressions	Laugh Closed Eyes	true
Female	Base Anime Innocent	Head	Expressions	Innocent	true
Female	Base Anime Happy	Head	Expressions	Happy	true
Female	Base Anime Happiness	Head	Expressions	Happiness	true
Female	Base Anime Furious	Head	Expressions	Furious	true
Female	Base Anime Friendly	Head	Expressions	Friendly	true
Female	Base Anime Disgusted	Head	Expressions	Disgusted	true
Female	Base Anime Crying	Head	Expressions	Crying	true
Female	Base Anime Crazy	Head	Expressions	Crazy	true
Female	Base Anime Confused	Head	Expressions	Confused	true
Female	Base Anime Confused Toon	Head	Expressions	Confused Toon	true
Female	Base Anime Complicated	Head	Expressions	Complicated	true
Female	Base Anime Bored	Head	Expressions	Bored	true
Female	Base Anime Angry	Head	Expressions	Angry	true
Female	Base Anime Almost Crying	Head	Expressions	Almost Crying	true
Female	Base Anime Afraid	Head	Expressions	Afraid	true
Female	Eyelashes Skew Irregular Upper	Head	Eyelashes	Eyelashes Skew Irregular Upper	true
Female	Eyelashes Skew Irregular Lower	Head	Eyelashes	Eyelashes Skew Irregular Lower	true
Female	Eyelashes Root Spread Irregular Upper	Head	Eyelashes	Eyelashes Root Spread Irregular Upper	true
Female	Eyelashes Root Spread Irregular Lower	Head	Eyelashes	Eyelashes Root Spread Irregular Lower	true
Female	Eyelashes Root Skew Irregular	Head	Eyelashes	Eyelashes Root Skew Irregular	true
Female	Eyelashes Outer Height Upper	Head	Eyelashes	Eyelashes Outer Height Upper	true
Female	Eyelashes Length Uniform Upper	Head	Eyelashes	Eyelashes Length Uniform Upper	true
Female	Eyelashes Length Uniform Lower	Head	Eyelashes	Eyelashes Length Uniform Lower	true
Female	Eyelashes Length Irregular Upper	Head	Eyelashes	Eyelashes Length Irregular Upper	true
Female	Eyelashes Length Irregular Lower	Head	Eyelashes	Eyelashes Length Irregular Lower	true
Female	Eyelashes Layer Seperation Upper	Head	Eyelashes	Eyelashes Layer Seperation Upper	true
Female	Eyelashes Large Uniform Upper	Head	Eyelashes	Eyelashes Large Uniform Upper	true
Female	Eyelashes Large Uniform Lower	Head	Eyelashes	Eyelashes Large Uniform Lower	true
Female	Eyelashes Height Uniform Upper	Head	Eyelashes	Eyelashes Height Uniform Upper	true
Female	Eyelashes Height Uniform Lower	Head	Eyelashes	Eyelashes Height Uniform Lower	true
Female	Eyelashes Gone Upper	Head	Eyelashes	Eyelashes Gone Upper	true
Female	Eyelashes Gone Lower	Head	Eyelashes	Eyelashes Gone Lower	true
Female	Eyelashes Curvature	Head	Eyelashes	Eyelashes Curvature	true
Female	Eyelashes Curl Uniform Upper	Head	Eyelashes	Eyelashes Curl Uniform Upper	true
Female	Eyelashes Curl Uniform Lower	Head	Eyelashes	Eyelashes Curl Uniform Lower	true
Female	Eyelashes Curl Irregular Upper Point	Head	Eyelashes	Eyelashes Curl Irregular Upper Point	true
Female	Eyelashes Curl Irregular Upper	Head	Eyelashes	Eyelashes Curl Irregular Upper	true
Female	Eyelashes Curl Irregular Lower Point	Head	Eyelashes	Eyelashes Curl Irregular Lower Point	true
Female	Eyelashes Curl Irregular Lower	Head	Eyelashes	Eyelashes Curl Irregular Lower	true
Female	GPL_Majora_Blow Up_More 1_Both	Body	Genitals	Majora Blow Up More 1 Both	true
Female	GPL_Majora_Blow Up_Both	Body	Genitals	Majora Blow Up Both	true
Female	GPL_Majora_Pinch 1_Both	Body	Genitals	Majora Pinch 1 Both	true
Female	GPL_Majora_Pinch 2_Both	Body	Genitals	Majora Pinch 2 Both	true
Female	GPL_Minora_Pinch 1_Both	Body	Genitals	Minora Pinch 1 Both	true
Female	GPL_Minora_Pinch 2_Both	Body	Genitals	Minora Pinch 2 Both	true
Female	GPC_Hood_Pinch 1	Body	Genitals	Hood Pinch 1	true
Female	GPC_Hood_Pinch 2	Body	Genitals	Hood Pinch 2	true
Female	GPC_Hood_Pinch 5	Body	Genitals	Hood Pinch 5	true
Female	GPC_Hood Tip_Upper	Body	Genitals	Hood Tip Upper	true
Female	GPC_Hood_Enlarge	Body	Genitals	Hood Enlarge	true
Female	GPL_Minora_Inflate Inside	Body	Genitals	Minora Inflate Inside	true
Female	GPV_Hymen_Edge 05	Body	Genitals	Hymen Edge 05	true
Female	GPV_Vagina_Open 5	Body	Genitals	Vagina Open 5	true
Female	GPV_Vagina Prolapse 1	Body	Genitals	Vagina Prolapse 1	true
Female	GPV_Vagina Prolapse 2	Body	Genitals	Vagina Prolapse 2	true
Female	GPV_Vagina Prolapse_Cervix Opening 1	Body	Genitals	Vagina Prolapse Cervix Opening 1	true
Female	GPL_Pinch 2	Body	Genitals	Pinch 2	true
Female	GPL_Pinch 1	Body	Genitals	Pinch 1	true
Female	GPV_Vagina_Open_Labia Front Widen_Right	Body	Genitals	Vagina Open Labia Front Widen Right	true
Female	GPV_Vagina_Open_Labia Front Widen_Left	Body	Genitals	Vagina Open Labia Front Widen Left	true
Female	Eye Upper Curve Height	Head	Eyes	Eye Upper Curve Height	true
Female	Eye Lower Curve Height	Head	Eyes	Eye Lower Curve Height	true
Female	Eye Upper Peak	Head	Eyes	Eye Upper Peak	true
Female	Eye Upper Curve Balance	Head	Eyes	Eye Upper Curve Balance	true
Female	Eye Swoop Up	Head	Eyes	Eye Swoop Up	true
Female	Eye Outer Arc Down	Head	Eyes	Eye Outer Arc Down	true
Female	Eye Lower Curve Balance	Head	Eyes	Eye Lower Curve Balance	true
Female	Eye Inner Height Size	Head	Eyes	Eye Inner Height Size	true
Female	Ear Elf Long Outward	Head	Ears	Ear Elf Long Outward	true
Female	Skull Width	Head	Skull	Skull Width	true
Female	Skull Above Ear Width	Head	Skull	Skull Above Ear Width	true
Female	Nose Wing Width	Head	Nose	Wing Width	true
Female	Nose Wing Size Vertical	Head	Nose	Wing Size Vertical	true
Female	Nose Wing Size	Head	Nose	Wing Size	true
Female	Nose Wing Lower Width	Head	Nose	Wing Lower Width	true
Female	Nose Wing Lower Height	Head	Nose	Wing Lower Height	true
Female	Nose Wing Height	Head	Nose	Wing Height	true
Female	Nose Wing Depth	Head	Nose	Wing Depth	true
Female	Nose Whole Width	Head	Nose	Whole Width	true
Female	Nose Whole Size	Head	Nose	Whole Size	true
Female	Nose Whole Depth	Head	Nose	Whole Depth	true
Female	Nose Tip Width	Head	Nose	Tip Width	true
Female	Nose Tip Upturn	Head	Nose	Tip Upturn	true
Female	Nose Tip Size	Head	Nose	Tip Size	true
Female	Nose Tip Septum Contour	Head	Nose	Tip Septum Contour	true
Female	Nose Tip Height	Head	Nose	Tip Height	true
Female	Nose Tip Depth	Head	Nose	Tip Depth	true
Female	Nose Septum Width	Head	Nose	Septum Width	true
Female	Nose Septum Height	Head	Nose	Septum Height	true
Female	Nose Septum Depth	Head	Nose	Septum Depth	true
Female	Nose Philtrum Width	Head	Nose	Philtrum Width	true
Female	Nose Philtrum Outer Depth	Head	Nose	Philtrum Outer Depth	true
Female	Nose Philtrum Center Depth	Head	Nose	Philtrum Center Depth	true
Female	Nose Philtrum Angle	Head	Nose	Philtrum Angle	true
Female	Nose Bridge Width	Head	Nose	Bridge Width	true
Female	Nose Bridge Upper Width	Head	Nose	Bridge Upper Width	true
Female	Nose Bridge Upper Size	Head	Nose	Bridge Upper Size	true
Female	Nose Bridge Upper Hollow	Head	Nose	Bridge Upper Hollow	true
Female	Nose Bridge Upper Height	Head	Nose	Bridge Upper Height	true
Female	Nose Bridge Upper Depth	Head	Nose	Bridge Upper Depth	true
