"area","classification","status","gate","public_evidence"
"Protected external plugins","KEEP_TARGET","PASS","Exact protected-plugin hash comparison","00_Invariants.md"
"Protected player and character assets","KEEP_TARGET","PASS_WITH_BASELINE_EXCEPTIONS","Session-baseline hash comparison","00_Invariants.md"
"Inner Doctrine and DXP","PROJECT_OWNED_CANONICAL","IN_PROGRESS","Build, native tests, Blueprint compile, PIE, cook, package","08_QA_Matrix.md"
"Curse and Cursed","PROJECT_OWNED_CANONICAL","IN_PROGRESS","Boundary, resistance, idempotency, persistence, status and recovery tests","08_QA_Matrix.md"
"Guard Recovery","PROJECT_OWNED_CANONICAL","IN_PROGRESS","Absorption, overflow, feedback, expiration and no-invulnerability tests","08_QA_Matrix.md"
"Social and Charisma unlocks","PROJECT_OWNED_CANONICAL","IN_PROGRESS","Charisma level-10 unlock, Intimacy eligibility, mechanical isolation and Streamer Safe suppression","08_QA_Matrix.md"
"Retained adult interactions","SECONDARY_SOCIAL_CONTENT","IN_PROGRESS","Single-game routing, no progression coupling and packaging closure","08_QA_Matrix.md"
"Defeat presentation","PROJECT_OWNED_CANONICAL","IN_PROGRESS","One authoritative ten-percent mature selection after a real loss, ninety-percent direct respawn and no-reroll tests","08_QA_Matrix.md"
"Chronicle","PROTECTED_PROJECT_CONTENT","PASS_BASELINE","Byte-exact original bark hash plus neutral/original weighted resolver validation","08_QA_Matrix.md"
"Survival and locomotion","PROJECT_OWNED_CANONICAL","IN_PROGRESS","Movement composition and status interaction matrix","08_QA_Matrix.md"
"Procedural level flow","PROJECT_OWNED_MIGRATED","PENDING_RUNTIME_GATES","Blueprint compile, PIE, cook and package","09_Known_Issues.md"
"Historical path inventory","PRIVATE_EVIDENCE_EXCLUDED","NOT_PUBLIC","Private audit retention only","Evidence/Public_Evidence_Redaction.md"
